Metric,Original,Retrained,Improvement
MAE,0.0337045800779014,0.0400393456732854,0.006334765595383998
RMSE,0.0688005732860236,0.0719736768836733,0.003173103597649704
MAE_X,0.0506294489093124,0.0563644022028893,0.0057349532935769
MAE_Y,0.0167797112464904,0.0237142891436815,0.0069345778971911
