type,seq,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,csi_data


CSI_DATA,61,60:83:e7:28:84:44,-60,11,1,7,0,0,1,0,0,0,0,-96,0,10,0,4741221,0,83,0,128,1,"[83,-80,4,0,19,-4,23,-4,26,-4,28,-4,28,-4,28,-3,27,-2,26,-1,24,1,21,3,19,5,16,8,13,10,11,13,8,15,4,16,1,17,-2,17,-4,16,-7,15,-9,13,-11,11,-12,9,-13,7,-14,5,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,18,5,18,7,17,9,15,10,13,11,10,11,6,10,2,9,-3,6,-7,2,-12,-1,-16,-5,-19,-9,-22,-14,-24,-17,-24,-20,-24,-23,-23,-23,-21,-23,-18,-22,-16,-19,-13,-15,-11,-10,-9,-4,-8,0,-7]"
CSI_DATA,62,60:83:e7:28:84:44,-60,11,1,7,0,0,1,0,0,0,0,-96,0,10,0,4751401,0,83,0,128,1,"[83,-80,4,0,-18,-3,-21,-5,-23,-6,-25,-7,-25,-7,-25,-7,-24,-8,-23,-9,-21,-10,-18,-10,-15,-11,-12,-12,-9,-14,-6,-15,-3,-16,0,-16,2,-16,5,-15,7,-14,9,-12,10,-10,11,-9,12,-6,12,-4,13,-2,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,4,-16,3,-17,1,-17,-1,-17,-3,-16,-5,-14,-7,-11,-8,-7,-8,-3,-8,2,-7,7,-6,12,-4,16,-1,20,1,23,4,25,7,26,9,26,10,24,11,22,11,20,10,17,8,14,5,10,0,7,-3,4]"
CSI_DATA,63,60:83:e7:28:84:44,-60,11,1,7,0,0,1,0,0,0,0,-96,0,10,0,4761237,0,83,0,128,1,"[83,-80,4,0,-13,-16,-14,-20,-15,-23,-16,-24,-16,-25,-15,-25,-14,-25,-12,-24,-10,-23,-7,-22,-4,-21,-1,-20,2,-19,6,-17,9,-15,12,-13,14,-10,15,-8,16,-6,16,-3,16,0,15,2,14,5,13,7,11,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,15,-10,15,-12,13,-13,12,-15,9,-15,6,-15,2,-13,-2,-11,-5,-8,-9,-4,-12,0,-14,5,-16,10,-17,15,-17,20,-16,24,-15,27,-13,28,-11,29,-9,28,-7,25,-5,22,-4,18,-5,13,-6,6,-6,2]"
CSI_DATA,64,60:83:e7:28:84:44,-60,11,1,7,0,0,1,0,0,0,0,-96,0,10,0,4773553,0,83,0,128,1,"[83,-80,4,0,-20,-2,-24,-3,-26,-4,-28,-4,-29,-5,-28,-5,-27,-6,-26,-7,-24,-8,-21,-9,-18,-11,-15,-13,-12,-14,-8,-16,-5,-17,-2,-17,1,-17,4,-17,7,-16,9,-14,11,-12,12,-10,13,-7,14,-5,14,-2,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-19,0,-19,-2,-19,-4,-18,-6,-17,-8,-14,-9,-10,-10,-6,-10,-2,-9,3,-7,9,-5,14,-2,18,2,22,5,24,8,26,11,27,14,27,15,25,16,23,15,20,14,17,11,14,7,11,2,8,-2,6]"
CSI_DATA,65,60:83:e7:28:84:44,-60,11,1,7,0,0,1,0,0,0,0,-96,0,10,0,4781920,0,83,0,128,1,"[83,-80,4,0,14,-12,18,-14,21,-15,23,-16,23,-16,23,-16,24,-15,23,-13,22,-11,21,-8,20,-5,19,-1,18,2,17,5,15,9,13,11,11,13,8,15,6,15,3,16,0,16,-2,15,-5,14,-7,13,-9,12,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,16,9,16,11,15,12,13,13,10,14,7,13,3,11,0,8,-4,4,-8,-1,-11,-6,-14,-10,-16,-16,-17,-20,-17,-24,-17,-27,-16,-29,-14,-29,-11,-28,-9,-26,-7,-23,-6,-19,-5,-14,-5,-8,-6,-3,-8]"
CSI_DATA,66,60:83:e7:28:84:44,-60,11,1,7,0,0,1,0,0,0,0,-96,0,10,0,4791142,0,83,0,128,1,"[83,-80,4,0,-20,-5,-23,-7,-25,-8,-27,-9,-27,-10,-27,-10,-26,-10,-25,-11,-23,-12,-20,-13,-17,-14,-14,-15,-11,-17,-7,-18,-4,-18,-1,-18,2,-18,5,-17,7,-16,9,-14,11,-12,12,-10,13,-7,14,-5,14,-3,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,9,-16,8,-17,6,-18,4,-19,1,-18,-2,-16,-4,-13,-6,-10,-8,-5,-9,0,-10,6,-9,12,-8,17,-6,21,-4,25,-1,28,2,30,5,30,7,29,8,27,9,24,8,21,6,17,3,13,-1,9,-5,5]"
CSI_DATA,67,60:83:e7:28:84:44,-60,11,1,7,0,0,1,0,0,0,0,-96,0,10,0,4801194,0,83,0,128,1,"[83,-80,4,0,-17,-1,-21,-2,-23,-3,-25,-4,-25,-4,-25,-4,-24,-5,-23,-6,-21,-7,-19,-9,-17,-10,-15,-11,-12,-13,-9,-15,-7,-16,-4,-16,-1,-16,1,-16,4,-15,6,-14,7,-13,9,-11,10,-9,11,-6,12,-5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,6,-15,5,-16,3,-17,1,-17,-1,-16,-3,-14,-5,-11,-7,-8,-8,-4,-8,1,-7,6,-6,11,-5,15,-2,19,0,22,3,24,5,25,8,25,10,24,11,22,11,20,10,17,8,14,4,11,0,8,-3,6]"
CSI_DATA,68,60:83:e7:28:84:44,-61,11,1,7,0,0,1,0,0,0,0,-96,0,10,0,4811391,0,83,0,128,1,"[83,-80,4,0,17,7,20,10,22,11,23,13,24,13,23,14,22,14,20,15,18,15,15,15,12,16,9,16,6,17,2,18,-1,18,-4,18,-7,17,-9,15,-11,13,-13,11,-14,8,-14,6,-15,3,-15,0,-15,-2,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,3,-13,13,-12,14,-10,15,-8,16,-5,16,-2,15,1,13,3,9,6,6,8,1,9,-5,9,-10,9,-15,9,-20,7,-25,5,-28,3,-30,1,-31,-2,-30,-4,-28,-4,-26,-4,-22,-3,-18,-1,-14,2,-9,5,-6]"
