Metric,Original,Dual-Branch,Improvement
MAE,0.0337045800779014,1.2444220896065237,-3592.145360453359
RMSE,0.0688005732860236,1.389985486815274,-1920.310907929078
MAE_X,0.0506294489093124,0.961170129776001,-1798.4408293632655
MAE_Y,0.0167797112464904,1.527674049437046,-9004.29283910693
